offset_hex,name
"0x34597c","America East"
"0x346510","Atlantic Coast"
"0x3470a4","Atlantic Sun"
"0x347c38","Atlantic Ten"
"0x3487cc","Big East"
"0x349360","Big Sky"
"0x349ef4","Big South"
"0x34aa88","Big Ten"
"0x34b61c","Big 12"
"0x34c1b0","Big West"
"0x34cd44","Colonial"
"0x34d8d8","Conference USA"
"0x34e46c","Horizon"
"0x34f000","Southland"
"0x34fb94","Ivy League"
"0x350728","Metro Atlantic"
"0x3512bc","Mid-American"
"0x351e50","Mid-Eastern"
"0x3529e4","Missouri Valley"
"0x353578","Mountain West"
"0x35410c","Northeast"
"0x354ca0","Ohio Valley"
"0x355834","Pacific-12"
"0x3563c8","Patriot League"
"0x356f5c","Southeastern"
"0x357af0","Southern"
"0x358684","American"
"0x359218","Southwestern"
"0x359dac","Summit League"
"0x35a940","Sun Belt"
"0x35b4d4","West Coast"
"0x35c068","Western Athletic"
"0x35cbfc","NCAA"
"0x35d790","Top 25"
"0x35e324","Classic Teams"
"0x35eeb8","Created Teams"
"0x35fa4c",""
"0x3605e0","Amateur Basketball League"
"0x361174","None"
